Compound.Type,Column,Compound.Name,Compound.Name_old,Compound.Name_figure,Compound.Name_SQL,QE.LinRange,QE.RF.ratio,QE.RSD,TQS.LinRange,TQS.RF.ratio,TQS.RSD,Emperical.Formula,RT..min.,m.z,ionization_form,z,C0,ChEBI,ChEBI_old,Fraction1,Fraction2,Liquid.Fraction,Conc..uM,HILICMix,Date.added,KEGGNAME,IUPAC.Name,InChI.Key.Name,Canon.SMILES.Name,Classyfire
New,HILIC,2-keto-4-methylthiobutyric acid,Keto-?-(methylthio)butyric acid,Keto-?-(methylthio)butyric acid,Keto methylthiobutyric acid,NA,NA,NA,NA,NA,NA,C5H7O3S,2.59,147.011592,[M],-1,NA,NA,NA,HILICNeg,NA,Aq,5,Mix1,170331,NA,4-methylsulfanyl-2-oxobutanoic acid,SXFSQZDSUWACKX-UHFFFAOYSA-N,CSCCC(=O)C(=O)O,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acids_and_conjugates; level 5: Thia_fatty_acids; level 6: Thia_fatty_acids; level 7: Thia_fatty_acids; level 8: Thia_fatty_acids
New,HILIC,L-Methionine S-oxide,Methionine Sulfoxide,Methionine sulfoxide,Methionine sulfoxide,NA,NA,NA,NA,NA,NA,C5H11NO3S,9.73,166.053791,[M+H],1,cpd:C02989,NA,CHEBI:17016,HILICPos,NA,Aq,4,Mix1,170331,L-Methionine S-oxide,(2S)-2-amino-4-methylsulfinylbutanoic acid,QEFRNWWLZKMPFJ-YGVKFDHGSA-N,CS(=O)CCC(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids
New,HILIC,N6-Acetyl-L-lysine,N(e)-Acetyl-Lysine,N(e)-Acetyl-Lysine,Ne Acetyl lysine,NA,NA,NA,NA,NA,NA,C8H16N2O3,9.71,189.123918,[M+H],1,cpd:C02727,NA,CHEBI:17752,HILICPos,NA,Aq,4,Mix1,170331,N6-Acetyl-L-lysine,(2S)-6-acetamido-2-aminohexanoic acid,DTERQYGMUDWYAZ-ZETCQYMHSA-N,CC(=O)NCCCCC(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids
New,HILIC,O-Acetyl-L-serine,N-Acetyl-Serine,N-Acetylserine,N Acetylserine,NA,NA,NA,NA,NA,NA,C5H9NO4,6.27,148.060984,[M+H],1,cpd:C00979,NA,CHEBI:17981,HILICPos,NA,Aq,4,Mix1,170331,O-Acetyl-L-serine; O3-Acetyl-L-serine,(2S)-3-acetyloxy-2-aminopropanoic acid,VZXPDPZARILFQX-BYPYZUCNSA-N,CC(=O)OCC(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids
New,HILIC,L-Ornithine,Ornithine,Ornithine,Ornithine,NA,NA,NA,NA,NA,NA,C5H12N2O2,16.79,133.097703,[M+H],1,cpd:C00077,NA,CHEBI:15729,HILICPos,NA,Aq,5,Mix1,170331,"L-Ornithine; (S)-2,5-Diaminovaleric acid; (S)-2,5-Diaminopentanoic acid; (S)-2,5-Diaminopentanoate","(2S)-2,5-diaminopentanoic acid",AHLPHDHHMVZTML-BYPYZUCNSA-N,C(CC(C(=O)O)N)CN,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids; level 8: L-alpha-amino_acids
New,HILIC,Proline betaine,Stachydrine hydrochloride,Proline betaine,Proline betaine,NA,NA,NA,NA,NA,NA,C7H13NO2,7.18,144.102454,[M+H],1,cpd:C10172,NA,CHEBI:35280,HILICPos,NA,Aq,0.5,Mix1,170331,Stachydrine; Proline betaine; L-Proline betaine,"(2S)-1,1-dimethylpyrrolidin-1-ium-2-carboxylate",CMUNUTVVOOHQPW-LURJTMIESA-N,C[N+]1(CCCC1C(=O)[O-])C,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Proline_and_derivatives; level 8: Proline_and_derivatives
New,HILIC,Sucrose,Sucrose,Sucrose,Sucrose,NA,NA,NA,NA,NA,NA,C12H22O11,11.93,341.10839,[M-H],-1,cpd:C00089,NA,CHEBI:17992,HILICNeg,NA,Aq,5,Mix1,170331,Sucrose; Cane sugar; Saccharose; 1-alpha-D-Glucopyranosyl-2-beta-D-fructofuranoside,"(2R,3R,4S,5S,6R)-2-[(2S,3S,4S,5R)-3,4-dihydroxy-2,5-bis(hydroxymethyl)oxolan-2-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",CZMRCDWAGMRECN-UGDNZRGBSA-N,C(C1C(C(C(C(O1)OC2(C(C(C(O2)CO)O)O)CO)O)O)O)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Glycosyl_compounds; level 6: O-glycosyl_compounds; level 7: O-glycosyl_compounds; level 8: O-glycosyl_compounds
New,HILIC,Trigonelline,Trigonelline,Trigonelline,Trigonelline,NA,NA,NA,NA,NA,NA,C7H7NO2,8.36,138.055503,[M+H],1,cpd:C01004,NA,CHEBI:18123,HILICPos,NA,Aq,0.5,Mix1,170331,N-Methylnicotinate; Trigonelline; Trigenelline; 1-Methylpyridinio-3-carboxylate; Betaine nicotinate; Caffearin; Gynesine,1-methylpyridin-1-ium-3-carboxylate,WWNNZCOKKKDOPX-UHFFFAOYSA-N,C[N+]1=CC=CC(=C1)C(=O)[O-],kingdom: Organic_compounds; superclass: Alkaloids_and_derivatives; class: Alkaloids_and_derivatives; subclass: Alkaloids_and_derivatives; level 5: Alkaloids_and_derivatives; level 6: Alkaloids_and_derivatives; level 7: Alkaloids_and_derivatives; level 8: Alkaloids_and_derivatives
New2,HILIC,O-Acetylcarnitine,Acetyl-L-carnitine,Acetyl-L-carnitine,Acetyl L carnitine,NA,NA,NA,NA,NA,NA,C9H17NO4,7.22,204.123584,[M+H],1,cpd:C02571,CHEBI:15960,CHEBI:57589,HILICPos,NA,Aq,4,Mix1,180130,O-Acetylcarnitine; O-Acetyl-L-carnitine,[(2S)-2-acetyloxy-3-carboxypropyl]-trimethylazaniumÂ Â ,RDHQFKQIGNGIED-QMMMGPOBSA-OÂ Â ,CC(=O)OC(CC(=O)O)C[N+](C)(C)C,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acid_esters; level 5: Acyl_carnitines; level 6: Acyl_carnitines; level 7: Acyl_carnitines; level 8: Acyl_carnitines
New2,HILIC,Glycerophosphocholine,Glycerophosphocholine,GPP,Glycerophosphocholine,NA,NA,NA,NA,NA,NA,C8H21NO6P,10.86,258.110652,[M],1,cpd:C00670,CHEBI:16870,CHEBI:36313,HILICPos,NA,Aq,4,Mix1,180130,sn-Glycero-3-phosphocholine; Glycerophosphocholine,"[(2R)-2,3-dihydroxypropyl] 2-(trimethylazaniumyl)ethyl phosphate",SUHOQUVVVLNYQR-MRVPVSSYSA-N,C[N+](C)(C)CCOP(=O)([O-])OCC(CO)O,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Glycerophospholipids; subclass: Glycerophosphocholines; level 5: Glycerophosphocholines; level 6: Glycerophosphocholines; level 7: Glycerophosphocholines; level 8: Glycerophosphocholines
New2,HILIC,5-Oxoproline,L-Pyroglutamic acid,Pidolic acid,Pidolic acid,NA,NA,NA,NA,NA,NA,C5H7NO3,7.97,128.034768,[M-H],-1,cpd:C01879,CHEBI:18183,CHEBI:16010,HILICNeg,NA,Aq,4,Mix1,180130,5-Oxoproline; Pidolic acid; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid,(2S)-5-oxopyrrolidine-2-carboxylic acid,ODHCTXKNWHHXJC-VKHMYHEASA-N,C1CC(=O)NC1C(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids_and_derivatives; level 8: Alpha_amino_acids_and_derivatives
New2,HILIC,5-Oxoproline,L-Pyroglutamic acid,Pidolic acid,Pidolic acid,NA,NA,NA,NA,NA,NA,C5H7NO3,7.97,130.050419,[M+H],1,cpd:C01879,CHEBI:18183,CHEBI:16010,HILICPos,NA,Aq,4,Mix1,180130,5-Oxoproline; Pidolic acid; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid,(2S)-5-oxopyrrolidine-2-carboxylic acid,ODHCTXKNWHHXJC-VKHMYHEASA-N,C1CC(=O)NC1C(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Alpha_amino_acids_and_derivatives; level 8: Alpha_amino_acids_and_derivatives
New2,HILIC,Maltotetraose,Maltotetraose,Maltotetraose,Maltotetraose,NA,NA,NA,NA,NA,NA,C24H42O21,13.78,665.21404,[M-H],-1,cpd:C02052,CHEBI:143180,CHEBI:28460,HILICNeg,NA,Aq,NA,NA,NA,Maltotetraose,"(2R,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6R)-6-[(2R,3S,4R,5R,6R)-4,5-dihydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6S)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-3-yl]oxy-4,5-dihydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",LUEWUZLMQUOBSB-ZLBHSGTGSA-N,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)OC4C(OC(C(C4O)O)O)CO)CO)CO)O)O)O)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Oligosaccharides; level 6: Oligosaccharides; level 7: Oligosaccharides; level 8: Oligosaccharides
New2,HILIC,Maltotriose,Maltotriose,Maltotriose,Maltotriose,NA,NA,NA,NA,NA,NA,C18H32O16,13.03,503.161215,[M-H],-1,cpd:C01835,CHEBI:27931,CHEBI:61993,HILICNeg,NA,Aq,NA,NA,NA,Maltotriose; Amylotriose,"(2R,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6R)-4,5-dihydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-3-yl]oxy-6-(hydroxymethyl)oxane-3,4,5-triol",FYGDTMLNYKFZSV-DZOUCCHMSA-N,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)O)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Oligosaccharides; level 6: Oligosaccharides; level 7: Oligosaccharides; level 8: Oligosaccharides
New2,HILIC,Butyrylcarnitine,Butyryl-L-carnitine,Butyryl-L-carnitine,Butyrylcarnitine,NA,NA,NA,NA,NA,NA,C11H21NO4,4.47,232.154884,[M+H],1,NA,NA,CHEBI:21949,HILICPos,NA,Aq,4,Mix1,180130,NA,(3R)-3-butanoyloxy-4-(trimethylazaniumyl)butanoate,QWYFHHGCZUCMBN-SECBINFHSA-N,CCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acid_esters; level 5: Acyl_carnitines; level 6: Acyl_carnitines; level 7: Acyl_carnitines; level 8: Acyl_carnitines
New2,HILIC,Glucosamine,Glucosamine,Glucosamine,Glucosamine,NA,NA,NA,NA,NA,NA,C6H13NO5,9.97,180.087199,[M+H],1,NA,NA,CHEBI:5417,HILICPos,NA,Aq,5,Mix1,180130,NA,"(3R,4R,5S,6R)-3-amino-6-(hydroxymethyl)oxane-2,4,5-triol",MSWZFWKMSRAUBD-IVMDWMLBSA-N,C(C1C(C(C(C(O1)O)N)O)O)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Monosaccharides; level 6: Hexoses; level 7: Hexoses; level 8: Hexoses
New2,HILIC,Ophthalmic acid,Ophthalmic Acid,Ophthalmate,Ophthalmic acid,NA,NA,NA,NA,NA,NA,C11H19N3O6,10.73,290.135212,[M+H],1,NA,NA,CHEBI:84058,HILICPos,NA,Aq,5,Mix1,180130,NA,(2S)-2-amino-5-[[(2S)-1-(carboxymethylamino)-1-oxobutan-2-yl]amino]-5-oxopentanoic acid,JCMUOFQHZLPHQP-BQBZGAKWSA-N,CCC(C(=O)NCC(=O)O)NC(=O)CCC(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Peptides; level 6: Oligopeptides; level 7: Oligopeptides; level 8: Oligopeptides
New2,HILIC,O-Propionylcarnitine,Propionyl-L-carnitine,O-Propionylcarnitine,O Propionylcarnitine,NA,NA,NA,NA,NA,NA,C10H19NO4,5.63,218.139234,[M+H],1,cpd:C03017,NA,CHEBI:28867,HILICPos,NA,Aq,4,Mix1,180130,O-Propanoylcarnitine; O-Propionylcarnitine,3-propanoyloxy-4-(trimethylazaniumyl)butanoate,UFAHZIUFPNSHSL-UHFFFAOYSA-N,CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Fatty_Acyls; subclass: Fatty_acid_esters; level 5: Acyl_carnitines; level 6: Acyl_carnitines; level 7: Acyl_carnitines; level 8: Acyl_carnitines
New2,HILIC,S-Farnesyl-L-cysteine methyl ester,S-Farnesyl-L-cysteine Methyl Ester,S-Fcme,S Fcme,NA,NA,NA,NA,NA,NA,C19H33NO2S,1.58,340.231026,[M+H],1,NA,NA,CHEBI:87167,HILICPos,NA,Aq,NA,NA,180130,NA,"methyl (2R)-2-amino-3-[(2E,6E)-3,7,11-trimethyldodeca-2,6,10-trienyl]sulfanylpropanoate",SIEHZFPZQUNSAS-GCVUPTOQSA-N,CC(=CCCC(=CCCC(=CCSCC(C(=O)OC)N)C)C)C,kingdom: Organic_compounds; superclass: Lipids_and_lipid-like_molecules; class: Prenol_lipids; subclass: Sesquiterpenoids; level 5: Sesquiterpenoids; level 6: Sesquiterpenoids; level 7: Sesquiterpenoids; level 8: Sesquiterpenoids
New2,HILIC,Trimethylamine,Trimethylamine,Trimethylamine,Trimethylamine,NA,NA,NA,NA,NA,NA,C3H9N,5.96,60.081324,[M+H],1,cpd:C00565,NA,CHEBI:18139,HILICPos,NA,Aq,10,Mix1,180130,"Trimethylamine; (CH3)3N; N,N-Dimethylmethanamine","N,N-dimethylmethanamine",GETQZCLCWQTVFV-UHFFFAOYSA-N,CN(C)C,kingdom: Organic_compounds; superclass: Organic_nitrogen_compounds; class: Organonitrogen_compounds; subclass: Amines; level 5: Tertiary_amines; level 6: Trialkylamines; level 7: Trialkylamines; level 8: Trialkylamines
New2,HILIC,Trimethylamine N-oxide,Trimethylamine N-oxide,TMAO,TMAO,NA,NA,NA,NA,NA,NA,C3H9NO,6.59,76.076239,[M+H],1,cpd:C01104,NA,CHEBI:15724,HILICPos,NA,Aq,4,Mix1,180130,Trimethylamine N-oxide; (CH3)3NO,"N,N-dimethylmethanamine oxide",UYPYRKYUKCHHIB-UHFFFAOYSA-N,C[N+](C)(C)[O-],kingdom: Organic_compounds; superclass: Organic_nitrogen_compounds; class: Organonitrogen_compounds; subclass: Aminoxides; level 5: Trialkyl_amine_oxides; level 6: Trialkyl_amine_oxides; level 7: Trialkyl_amine_oxides; level 8: Trialkyl_amine_oxides
New3,HILIC,Dimethylsulfonioacetate,Dimethylsulfonioacetate (DMS-Ac),DMS-Ac,Dimethylsulfonioacetate,NA,NA,NA,NA,NA,NA,C4H9O2S,8.39,121.032327,[M],1,cpd:C03392,CHEBI:4623,CHEBI:16471,HILICPos,NA,Aq,4,Mix2,180701,Dimethylsulfonioacetate,2-dimethylsulfonioacetate,PSBDWGZCVUAZQS-UHFFFAOYSA-N,C[S+](C)CC(=O)[O-],kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Carboxylic_acid_derivatives; level 5: Carboxylic_acid_salts; level 6: Carboxylic_acid_salts; level 7: Carboxylic_acid_salts; level 8: Carboxylic_acid_salts
New3,HILIC,Turicine,Turicine,Turicine,Turicine,NA,NA,NA,NA,NA,NA,C7H13NO3,8.48,160.097369,[M+H],1,cpd:C21513,CHEBI:NA,CHEBI:85534,HILICPos,NA,Aq,4,Mix2,180701,Turicine; (+)-Turicine; cis-4-Hydroxy-D-proline betaine,"(2R,4R)-4-hydroxy-1,1-dimethylpyrrolidin-1-ium-2-carboxylate",MUNWAHDYFVYIKH-PHDIDXHHSA-N,C[N+]1(CC(CC1C(=O)[O-])O)C,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Proline_and_derivatives; level 8: Proline_and_derivatives
New3,HILIC,Sulfanilic acid,Sulfanilic Acid,Sulfanilic acid,Sulfanilic acid,NA,NA,NA,NA,NA,NA,C6H7NO3S,7.23,172.006841,[M-H],-1,cpd:C06335,CHEBI:27500,CHEBI:20313,HILICNeg,NA,Aq,4,Mix2,180701,4-Aminobenzenesulfonate; 4-Aminobenzenesulfonic acid; p-Aminobenzenesulfonic acid; Sulfanilic acid,4-aminobenzenesulfonic acid,HVBSAKJJOYLTQU-UHFFFAOYSA-N,C1=CC(=CC=C1N)S(=O)(=O)O,kingdom: Organic_compounds; superclass: Benzenoids; class: Benzene_and_substituted_derivatives; subclass: Benzenesulfonic_acids_and_derivatives; level 5: Benzenesulfonic_acids_and_derivatives; level 6: Benzenesulfonic_acids_and_derivatives; level 7: Benzenesulfonic_acids_and_derivatives; level 8: Benzenesulfonic_acids_and_derivatives
New3,HILIC,Urocanic acid,Imidazoleacrylic Acid,Urocanate,Urocanic acid,NA,NA,NA,NA,NA,NA,C6H6N2O2,8.16,139.050753,[M+H],1,cpd:C00785,CHEBI:27247,CHEBI:27248,HILICPos,NA,Aq,4,Mix2,180701,Urocanate; Urocanic acid,(E)-3-(1H-imidazol-5-yl)prop-2-enoic acid,LOIYMIARKYCTBW-OWOJBTEDSA-N,C1=C(NC=N1)C=CC(=O)O,kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Azoles; subclass: Imidazoles; level 5: Substituted_imidazoles; level 6: Imidazolyl_carboxylic_acids_and_derivatives; level 7: Imidazolyl_carboxylic_acids_and_derivatives; level 8: Imidazolyl_carboxylic_acids_and_derivatives
New3,HILIC,Urocanic acid,Imidazoleacrylic Acid,Urocanate,Urocanic acid,NA,NA,NA,NA,NA,NA,C6H6N2O2,8.16,137.035103,[M-H],-1,cpd:C00785,CHEBI:27247,CHEBI:27248,HILICNeg,NA,Aq,4,Mix2,180701,Urocanate; Urocanic acid,(E)-3-(1H-imidazol-5-yl)prop-2-enoic acid,LOIYMIARKYCTBW-OWOJBTEDSA-N,C1=C(NC=N1)C=CC(=O)O,kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Azoles; subclass: Imidazoles; level 5: Substituted_imidazoles; level 6: Imidazolyl_carboxylic_acids_and_derivatives; level 7: Imidazolyl_carboxylic_acids_and_derivatives; level 8: Imidazolyl_carboxylic_acids_and_derivatives
New3,HILIC,Hydroxyisoleucine,4-Hydroxyisoleucine,4-Hydroxyisoleucine,Hydroxyisoleucine,NA,NA,NA,NA,NA,NA,C6H13NO3,8.34,148.097369,[M+H],1,cpd:C20802,CHEBI:NA,CHEBI:79079,HILICPos,NA,Aq,4,Mix2,180701,(4S)-4-Hydroxy-L-isoleucine; Hydroxyisoleucine,"(2S,3R,4S)-2-amino-4-hydroxy-3-methylpentanoic acid",OSCCDBFHNMXNME-YUPRTTJUSA-N,CC(C(C)O)C(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Isoleucine_and_derivatives; level 8: Isoleucine_and_derivatives
New3,HILIC,Hydroxyisoleucine,4-Hydroxyisoleucine,4-Hydroxyisoleucine,Hydroxyisoleucine,NA,NA,NA,NA,NA,NA,C6H13NO3,8.34,146.081719,[M-H],-1,cpd:C20802,CHEBI:NA,CHEBI:79079,HILICNeg,NA,Aq,4,Mix2,180701,(4S)-4-Hydroxy-L-isoleucine; Hydroxyisoleucine,"(2S,3R,4S)-2-amino-4-hydroxy-3-methylpentanoic acid",OSCCDBFHNMXNME-YUPRTTJUSA-N,CC(C(C)O)C(C(=O)O)N,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Alpha_amino_acids_and_derivatives; level 7: Isoleucine_and_derivatives; level 8: Isoleucine_and_derivatives
New3,HILIC,Deoxyadenosine,Deoxyadenosine,Deoxyadenosine,Deoxyadenosine,NA,NA,NA,NA,NA,NA,C10H13N5O3,3.44,252.109665,[M+H],1,cpd:C00559,CHEBI:NA,CHEBI:17256,HILICPos,NA,Aq,4,Mix2,180701,Deoxyadenosine; 2'-Deoxyadenosine,"(2R,3S,5R)-5-(6-aminopurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol",OLXZPDWKRNYJJZ-RRKCRQDMSA-N,C1C(C(OC1N2C=NC3=C(N=CN=C32)N)CO)O,kingdom: Organic_compounds; superclass: Nucleosides_nucleotides_and_analogues; class: Purine_nucleosides; subclass: Purine_2-deoxyribonucleosides; level 5: Purine_2-deoxyribonucleosides; level 6: Purine_2-deoxyribonucleosides; level 7: Purine_2-deoxyribonucleosides; level 8: Purine_2-deoxyribonucleosides
New3,HILIC,beta-Alanine,beta-Alanine,b-Alanine,beta Alanine,NA,NA,NA,NA,NA,NA,C3H7NO2,11.39,90.055504,[M+H],1,cpd:C00099,CHEBI:NA,CHEBI:16958,HILICPos,NA,Aq,4,Mix2,180701,beta-Alanine; 3-Aminopropionic acid; 3-Aminopropanoate,3-aminopropanoic acid,UCMIRNVEIXFBKS-UHFFFAOYSA-N,C(CN)C(=O)O,kingdom: Organic_compounds; superclass: Organic_acids_and_derivatives; class: Carboxylic_acids_and_derivatives; subclass: Amino_acids_peptides_and_analogues; level 5: Amino_acids_and_derivatives; level 6: Beta_amino_acids_and_derivatives; level 7: Beta_amino_acids_and_derivatives; level 8: Beta_amino_acids_and_derivatives
New3,HILIC,Melamine,Melamine,Melamine,Melamine,NA,NA,NA,NA,NA,NA,C3H6N6,6.68,127.073219,[M+H],1,cpd:C08737,CHEBI:NA,CHEBI:27915,HILICPos,NA,Aq,4,Mix2,180701,"Melamine; 2,4,6-Triamino-1,3,5-triazine","1,3,5-triazine-2,4,6-triamine",JDSHMPZPIAZGSV-UHFFFAOYSA-N,C1(=NC(=NC(=N1)N)N)N,kingdom: Organic_compounds; superclass: Organoheterocyclic_compounds; class: Triazines; subclass: 135-triazines; level 5: 135-triazines; level 6: 135-triazines; level 7: 135-triazines; level 8: 135-triazines
New3,HILIC,Maltose,Maltose,Maltose,Maltose,NA,NA,NA,NA,NA,NA,C12H22O11,12.31,341.10839,[M-H],-1,cpd:C00208,CHEBI:NA,CHEBI:17306,HILICNeg,NA,Aq,4,Mix2,180701,Maltose; Malt sugar; alpha-D-Glucopyranosyl-(1->4)-D-glucopyranose,"(2R,3S,4S,5R,6R)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",GUBGYTABKSRVRQ-QUYVBRFLSA-N,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Glycosyl_compounds; level 6: O-glycosyl_compounds; level 7: O-glycosyl_compounds; level 8: O-glycosyl_compounds
New3,HILIC,Lactose,Lactose,Lactose,Lactose,NA,NA,NA,NA,NA,NA,C12H22O11,12.53,341.10839,[M-H],-1,cpd:C00243,CHEBI:NA,CHEBI:17716,HILICNeg,NA,Aq,4,Mix2,180701,Lactose; 1-beta-D-Galactopyranosyl-4-D-glucopyranose; beta-D-Gal-(1->4)-D-Glc; Milk sugar,"(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",GUBGYTABKSRVRQ-DCSYEGIMSA-N,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Glycosyl_compounds; level 6: O-glycosyl_compounds; level 7: O-glycosyl_compounds; level 8: O-glycosyl_compounds
New3,HILIC,Lactose,Lactose,Lactose,Lactose,NA,NA,NA,NA,NA,NA,C12H22O11,12.53,343.12404,[M+H],1,cpd:C00243,CHEBI:NA,CHEBI:17716,HILICPos,NA,Aq,4,Mix2,180701,Lactose; 1-beta-D-Galactopyranosyl-4-D-glucopyranose; beta-D-Gal-(1->4)-D-Glc; Milk sugar,"(2R,3R,4S,5R,6S)-2-(hydroxymethyl)-6-[(2R,3S,4R,5R,6R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxane-3,4,5-triol",GUBGYTABKSRVRQ-DCSYEGIMSA-N,C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O,kingdom: Organic_compounds; superclass: Organic_oxygen_compounds; class: Organooxygen_compounds; subclass: Carbohydrates_and_carbohydrate_conjugates; level 5: Glycosyl_compounds; level 6: O-glycosyl_compounds; level 7: O-glycosyl_compounds; level 8: O-glycosyl_compounds
